Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
"Detached Single Family, 2 Stories",,1987,Bolingbrook,,"$365,000",, 2,,865 Bonnie Brae Ln 60440,6.0,4.5,"6,500",,, 4, 1, 14, 12,,,," $9,872"

"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$223,500",, 2, BOLINGBROOK HIGH SCHOOL,9 Vermont Cir 60440,4.0,2,"1,950",,, 2,, 12, 0,,,," $5,625.06"

"Detached Single Family, 1 Story",,1962,Bolingbrook,,"$200,000",, 4,,117 Queenswood Rd 60440,4.0,2,"1,599",,, 2,, 8, 0,,,," $3,984.14"

"Detached Single Family, 1 Story",,1973,Bolingbrook,,"$136,000",, 1,,168 Shady Ln 60440,3.0,1,"1,200",,, 1,, 8, 0,,,," $3,855.28"

"Detached Single Family, Split-Level",,1973,Bolingbrook,,"$212,900",, 1,,400 N Pinecrest Rd 60440,3.0,1.5,"1,514",,, 1, 1, 12, 0,,,," $4,853.98"

Condo/Co-op,,2003,,,"$185,678",,,,146 Enclave Cir 60440,,2.5,"1,517",,,,, 0, 0,,,,

"Detached Single Family, Raised Ranch",,1980,Bolingbrook,,"$299,900",, 2, SOUTH HIGH SCHOOL,956 N Ashbury Ave 60440,3.0,2.5,"2,722",,, 2, 1, 0, 16,,,," $6,846"

"Detached Single Family, Split-Level",,1971,Bolingbrook,,"$216,000",, 2,,541 Cumberland Ln 60440,4.0,2.5,"1,625",,, 2, 1, 14, 0,,,," $6,303.74"

"Detached Single Family, 2 Stories",$24/month,2004,Bolingbrook,,"$294,000",, 2, Bolingbrook High School,186 S Cranberry St 60490,4.0,2.5,"2,400",,, 2, 1, 12, 10,,,," $10,604.34"

"Detached Single Family, 2 Stories",$7/month,1999,Bolingbrook,,"$493,000",, 2, NEUQUA VALLEY HIGH SCHOOL,1922 Danube Way 60490,4.0,3.5,"3,000",,, 3, 1, 12, 14,,,," $10,225"

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$230,000",, 2,,560 Kingsbrooke Xing 60440,3.0,2.5,"1,688",,, 2, 1, 16, 0,,,," $6,065.36"

"Detached Single Family, 2 Stories",$28/month,2004,Bolingbrook,,"$283,501",, 2, BOLINGBROOK HIGH SCHOOL,243 Tiger St 60490,4.0,2.5,"2,200",,, 2, 1, 12, 6,,,," $1,959.34"

"Detached Single Family, 2 Stories",$18/month,2003,Bolingbrook,,"$370,000",, 3, Bolingbrook High School,801 Hartford Ln 60440,5.0,4,"3,888",,, 4,, 16, 8,,,," $11,490.62"

Other,,1963,,,"$190,000",,,,143 Thornhurst Rd 60440,,2,"1,888",,,,, 0, 0,,,,

